hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-04-20T14:00:00Z,GLONASS,143,36,26.783333333333335,30
2024-04-20T14:00:00Z,Galileo,28,6,5.466666666666667,6
2024-04-20T14:00:00Z,BeiDou,54,19,17.083333333333332,18
2024-04-20T14:00:00Z,NavIC,9,5,5.0,5
2024-04-20T14:00:00Z,QZSS,5,0,0.0,0
2024-04-20T14:00:00Z,Iridium,109,15,1.8166666666666667,4
2024-04-20T14:00:00Z,Globalstar,85,40,8.533333333333333,14
2024-04-20T14:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T14:00:00Z,Starlink,5819,1279,125.65,139
2024-04-20T14:00:00Z,OneWeb,634,127,20.766666666666666,24
2024-04-20T15:00:00Z,GPS,75,24,19.816666666666666,21
2024-04-20T15:00:00Z,GLONASS,143,38,29.033333333333335,31
2024-04-20T15:00:00Z,Galileo,28,7,6.0,6
2024-04-20T15:00:00Z,BeiDou,54,20,18.883333333333333,20
2024-04-20T15:00:00Z,NavIC,9,5,5.0,5
2024-04-20T15:00:00Z,QZSS,5,1,0.43333333333333335,1
2024-04-20T15:00:00Z,Iridium,109,17,1.85,4
2024-04-20T15:00:00Z,Globalstar,85,32,5.833333333333333,10
2024-04-20T15:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T15:00:00Z,Starlink,5819,1287,128.03333333333333,141
2024-04-20T15:00:00Z,OneWeb,634,126,20.45,25
2024-04-20T16:00:00Z,GPS,75,20,17.516666666666666,19
2024-04-20T16:00:00Z,GLONASS,143,43,35.333333333333336,39
2024-04-20T16:00:00Z,Galileo,28,9,6.966666666666667,9
2024-04-20T16:00:00Z,BeiDou,54,20,17.433333333333334,19
2024-04-20T16:00:00Z,NavIC,9,5,5.0,5
2024-04-20T16:00:00Z,QZSS,5,1,1.0,1
2024-04-20T16:00:00Z,Iridium,109,16,2.033333333333333,4
2024-04-20T16:00:00Z,Globalstar,85,38,8.066666666666666,13
2024-04-20T16:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T16:00:00Z,Starlink,5819,1268,124.2,141
2024-04-20T16:00:00Z,OneWeb,634,123,20.183333333333334,23
2024-04-20T17:00:00Z,GPS,75,20,16.6,18
2024-04-20T17:00:00Z,GLONASS,143,51,39.85,44
2024-04-20T17:00:00Z,Galileo,28,10,9.5,10
2024-04-20T17:00:00Z,BeiDou,54,17,16.266666666666666,17
2024-04-20T17:00:00Z,NavIC,9,5,4.1,5
2024-04-20T17:00:00Z,QZSS,5,1,1.0,1
2024-04-20T17:00:00Z,Iridium,109,17,2.0166666666666666,4
2024-04-20T17:00:00Z,Globalstar,85,32,6.2,12
2024-04-20T17:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T17:00:00Z,Starlink,5819,1197,115.61666666666666,128
2024-04-20T17:00:00Z,OneWeb,634,127,20.45,26
2024-04-20T18:00:00Z,GPS,75,20,17.75,19
2024-04-20T18:00:00Z,GLONASS,143,52,41.25,44
2024-04-20T18:00:00Z,Galileo,28,11,8.433333333333334,10
2024-04-20T18:00:00Z,BeiDou,54,15,14.583333333333334,15
2024-04-20T18:00:00Z,NavIC,9,5,4.166666666666667,5
2024-04-20T18:00:00Z,QZSS,5,1,1.0,1
2024-04-20T18:00:00Z,Iridium,109,15,1.8666666666666667,4
2024-04-20T18:00:00Z,Globalstar,85,29,6.616666666666666,10
2024-04-20T18:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T18:00:00Z,Starlink,5819,1211,116.66666666666667,139
2024-04-20T18:00:00Z,OneWeb,634,126,20.483333333333334,24
2024-04-20T19:00:00Z,GPS,75,26,20.55,22
2024-04-20T19:00:00Z,GLONASS,143,49,34.96666666666667,42
2024-04-20T19:00:00Z,Galileo,28,10,9.2,10
2024-04-20T19:00:00Z,BeiDou,54,18,15.416666666666666,17
2024-04-20T19:00:00Z,NavIC,9,5,5.0,5
2024-04-20T19:00:00Z,QZSS,5,1,1.0,1
2024-04-20T19:00:00Z,Iridium,109,22,2.3833333333333333,6
2024-04-20T19:00:00Z,Globalstar,85,31,7.25,15
2024-04-20T19:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T19:00:00Z,Starlink,5819,1221,120.25,138
2024-04-20T19:00:00Z,OneWeb,634,127,21.066666666666666,25
2024-04-20T20:00:00Z,GPS,75,27,21.0,22
2024-04-20T20:00:00Z,GLONASS,143,37,31.5,33
2024-04-20T20:00:00Z,Galileo,28,11,8.866666666666667,11
